Country,Unnamed: 0,Unnamed: 0,CurrentRank,CurrentRank,LastRank,LastRank,Age,Age,Academicscorerscore,Academicscorerscore,Academicrankrank,Academicrankrank,Employerscore,Employerscore,Employerrank,Employerrank,FacultyStudentscore,FacultyStudentscore,FacultyStudentrank,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyscore,CitationsPerFacultyrank,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyscore,InternationalFacultyrank,InternationalFacultyrank,InternationalStudentscore,InternationalStudentscore,InternationalStudentrank,InternationalStudentrank,OverallScore,OverallScore,Latitude,Latitude,Longitude,Longitude,anno,anno,pca_1,pca_1,pca_2,pca_2
,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean
Israel,7,441.2857142857143,7,453.7142857142857,7,463.2857142857143,7,4.0,7,24.62857142857143,7,146.14285714285714,7,21.171428571428574,7,194.0,7,18.11428571428571,7,191.28571428571428,7,39.285714285714285,7,81.42857142857143,7,31.9,7,164.0,7,10.028571428571428,7,219.28571428571428,7,25.599999999999998,7,32.09392902281429,7,34.92727977728571,7,2018,7,0.14154738571560813,7,0.2870759876748678
Italy,31,586.9677419354839,31,605.9677419354839,31,595.7741935483871,30,4.366666666666666,31,13.229032258064517,31,56.064516129032256,31,12.319354838709677,31,66.45161290322581,31,8.848387096774195,31,160.48387096774192,31,21.212903225806453,31,122.09677419354838,31,5.096774193548387,31,178.0,31,8.33548387096774,31,174.38709677419354,31,16.661290322580644,31,43.83191930645162,31,11.191710544354837,31,2018,31,-1.0258158754139537,31,-0.2658508555799985
Japan,43,530.2325581395348,43,574.1860465116279,43,520.0930232558139,43,4.465116279069767,43,21.048837209302324,43,51.093023255813954,43,19.890697674418604,43,62.116279069767444,43,26.83255813953489,43,49.69767441860465,43,11.883720930232556,43,110.02325581395348,43,5.441860465116279,43,139.88372093023256,43,6.909302325581396,43,139.6046511627907,43,19.26279069767442,43,35.382013599737206,43,136.98403610020932,43,2018,43,-0.6278429416375623,43,-0.3916565467342476
Jordan,2,601.0,2,625.0,2,650.0,2,3.5,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,32.2530225,2,35.929031875,2,2018,2,-2.1527178229669195,2,0.6860818006450907
Kazakhstan,8,518.125,8,555.25,8,537.875,8,3.5,8,7.8125,8,83.875,8,10.8125,8,73.75,8,48.3625,8,24.25,7,0.48571428571428577,7,171.85714285714286,8,10.575,8,198.25,8,4.1875,8,200.5,8,16.6125,8,33.50884069403154,8,-23.662838205818442,8,2018,8,-0.9058978508851054,8,0.839244976463599
Kenya,1,942.0,1,1000.0,1,701.0,1,3.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,40.9295,1,40.276125,1,2018,1,-2.695493373714733,1,1.2460076054649158
Kuwait,1,666.0,1,700.0,1,701.0,1,4.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,29.339734,1,47.916311,1,2018,1,-2.2469436647222936,1,0.1255104501128481
Latvia,2,709.5,2,725.0,2,850.0,2,4.5,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,56.94490825,2,24.13610825,2,2018,2,-2.4155002175066906,2,-0.42402166905334815
Lebanon,3,449.0,3,461.6666666666667,3,476.0,3,4.666666666666667,3,9.0,3,133.66666666666666,3,27.900000000000002,3,28.666666666666668,3,44.93333333333334,3,120.33333333333333,3,4.8999999999999995,3,267.3333333333333,3,53.03333333333333,3,108.33333333333333,3,25.766666666666666,3,197.66666666666666,3,22.866666666666664,3,37.46348536446667,3,-41.8718009125,3,2018,3,0.24873009317200548,3,-0.11161590178870913
Lithuania,4,669.0,4,690.0,4,648.25,4,4.25,4,0.0,4,0.0,4,0.0,4,0.0,4,17.275,4,43.25,4,1.275,4,100.25,4,1.75,4,100.25,4,1.15,4,100.25,4,7.5,4,43.1637815,4,-28.013674875,4,2018,4,-1.84271209710964,4,-0.10054700784586139
Macau,1,543.0,1,550.0,1,550.0,1,3.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,22.124095,1,113.545254,1,2018,1,-1.9934585342639288,1,1.2417378368556686
Malaysia,9,440.0,9,448.8888888888889,9,447.22222222222223,9,3.2222222222222223,9,27.255555555555556,9,117.77777777777777,9,23.299999999999997,9,173.0,9,38.1,9,99.11111111111111,9,9.777777777777779,9,222.77777777777777,9,23.944444444444443,9,186.22222222222223,9,27.944444444444443,9,161.11111111111111,9,25.45555555555556,9,3.6809862222222227,9,101.53161180555557,9,2018,9,0.08932430283400662,9,1.2593800429443844
Mexico,14,697.0714285714286,14,772.9285714285714,14,620.9285714285714,14,4.071428571428571,14,9.9,14,19.428571428571427,14,12.464285714285714,14,10.214285714285714,14,9.142857142857142,14,29.071428571428573,14,0.5357142857142857,14,57.285714285714285,14,7.814285714285715,14,33.714285714285715,14,1.842857142857143,14,57.285714285714285,14,7.642857142857143,14,20.527041785714285,14,-100.03414221428571,14,2018,14,-1.6957566743465633,14,0.057684260399149964
Morocco,1,923.0,1,1000.0,1,1000.0,1,2.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,38.567321,1,43.283033,1,2018,1,-3.2064627332106688,1,2.403749825769157
Netherlands,13,151.30769230769232,13,152.0,13,145.46153846153845,13,4.461538461538462,13,52.530769230769224,13,213.76923076923077,13,45.26153846153846,13,283.84615384615387,13,48.25384615384615,13,287.7692307692308,13,73.75384615384615,13,100.84615384615384,13,71.7,13,213.23076923076923,13,57.86153846153846,13,246.69230769230768,13,56.53846153846154,13,50.216446653846155,13,10.719998076923076,13,2018,13,3.3695721119291426,13,0.22119774719445703
New Zealand,8,253.375,8,255.375,8,268.625,8,4.375,8,41.512499999999996,8,207.375,8,37.1625,8,257.125,8,23.312500000000004,8,372.875,8,41.82500000000001,8,274.125,8,96.625,8,84.125,8,79.73750000000001,8,143.375,8,43.9125,8,-24.7987065625,8,133.65480312499997,8,2018,8,2.5549641316304887,8,0.6348636967377521
Norway,5,378.4,5,386.4,5,385.2,5,4.2,5,31.939999999999998,5,215.4,5,23.080000000000002,5,272.8,5,53.56,5,154.0,5,32.5,5,218.8,5,55.56,5,186.2,5,20.84,5,307.2,5,36.2,5,45.94000077928,5,38.354885485980006,5,2018,5,1.132240588372391,5,0.34001157073479005
Oman,1,453.0,1,460.0,1,460.0,1,3.0,1,0.0,1,0.0,1,0.0,1,0.0,1,62.3,1,208.0,1,9.6,1,401.0,1,100.0,1,32.0,1,4.6,1,401.0,1,27.3,1,47.828406,1,-121.827357,1,2018,1,0.1474927723621973,1,2.091126733393905
Pakistan,6,771.1666666666666,6,815.0,6,675.8333333333334,6,3.3333333333333335,6,0.0,6,0.0,6,0.0,6,0.0,6,12.433333333333332,6,24.833333333333332,6,1.0666666666666667,6,66.83333333333333,6,0.5499999999999999,6,66.83333333333333,6,0.75,6,66.83333333333333,6,4.716666666666667,6,32.689513166666664,6,47.83586441666667,6,2018,6,-2.220371999341768,6,0.9106247164393576
Palestinian Territory,1,817.0,1,1000.0,1,1000.0,1,4.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,31.9552,1,35.1751,1,2018,1,-2.9781975096203275,1,0.1482522823924171
Peru,3,743.6666666666666,3,813.3333333333334,3,630.6666666666666,3,4.666666666666667,3,0.0,3,0.0,3,0.0,3,0.0,3,6.233333333333333,3,133.66666666666666,3,0.6,3,133.66666666666666,3,1.8333333333333333,3,133.66666666666666,3,1.3,3,133.66666666666666,3,9.566666666666666,3,-12.050626,3,-77.07260166666667,3,2018,3,-1.9831584964859996,3,-0.6009435956819443
Philippines,4,643.75,4,679.25,4,581.5,4,5.0,4,11.5,4,54.5,4,14.15,4,47.75,4,10.175,4,81.75,4,0.525,4,100.25,4,0.475,4,100.25,4,0.375,4,100.25,4,8.225,4,14.622439499999999,4,121.02579675000001,4,2018,4,-1.4566403882681853,4,-1.0570575921778094
