CurrentRank,LastRank,Institution,Country,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,Latitude,Longitude,anno,pca_1,pca_2,color
57,58,UNIVERSITY OF AMSTERDAM,Netherlands,L,FC,VH,5,A,79.2,64,51.8,161,58.5,266,81.6,60,80.1,208.0,40.3,345.0,71.1,52.363287,4.911971,2019,4.3438548288261085,-0.61031944950022,red
58,56,TOKYO INSTITUTE OF TECHNOLOGY,Japan,M,CO,VH,5,A,74.6,73,80.0,75,90.4,86,59.8,161,31.0,445.0,27.1,454.0,71.0,35.60578,139.6843815,2019,4.18645548737244,-1.7566803937403055,red
59,60,MONASH UNIVERSITY,Australia,XL,FC,VH,4,A,86.7,51,93.1,40,15.3,601,65.9,122,100.0,45.0,99.0,39.0,70.4,-37.91063,145.13360699999998,2019,4.901303510611228,1.400520457299394,red
59,62,SHANGHAI JIAO TONG UNIVERSITY,China,XL,FC,VH,5,A,77.8,69,96.1,28,39.4,392,85.0,50,77.4,217.0,15.6,582.0,70.4,31.200472,121.429896,2019,4.540717950648799,-0.9669011503323532,red
61,64,TECHNISCHE UNIVERSITÄT MÜNCHEN,Germany,XL,CO,VH,5,A,78.1,68,98.3,21,88.8,90,23.9,493,59.5,294.0,63.9,222.0,70.0,48.14852,11.5676645,2019,4.494224441563838,-0.7949444227288901,red
62,66,LUDWIG0MAXIMILIANS0UNIVERSITÄT MÜNCHEN,Germany,XL,FC,VH,5,A,90.0,39,84.4,59,51.8,294,47.1,263,60.2,292.0,38.8,357.0,69.4,48.150471,11.594703,2019,4.279672534141317,-1.0146194487193618,red
63,67,UNIVERSITY OF TEXAS AT AUSTIN,United States,XL,FC,VH,5,A,93.8,34,78.1,84,14.7,601,94.1,27,7.3,601.0,20.4,518.0,68.7,30.2853755,-97.735642,2019,3.98880200626332,-1.878083139254296,red
64,68,RUPRECHT0KARLS0UNIVERSITÄT HEIDELBERG,Germany,L,FC,VH,5,A,78.4,67,55.4,143,91.4,81,36.8,348,53.6,318.0,52.4,273.0,68.0,49.410121,8.706576,2019,3.957035307141762,-1.0184428689244147,red
65,59,ECOLE POLYTECHNIQUE,France,S,CO,VH,5,A,46.8,163,99.7,12,99.9,25,47.3,262,95.4,127.0,95.8,75.0,67.9,46.520378,6.565148000000001,2019,4.838141508019043,0.4081046459518386,red
66,61,UNIVERSITY OF WASHINGTON,United States,XL,FC,VH,5,A,85.0,54,46.5,188,21.0,601,99.5,12,58.6,299.0,38.4,359.0,67.8,47.654538,-122.3076595,2019,4.045864127455603,-0.758699027945408,red
67,63,OSAKA UNIVERSITY,Japan,L,FC,VH,4,A,79.4,63,70.5,99,81.3,142,52.2,211,23.9,496.0,15.5,584.0,67.7,34.823534,135.520052,2019,3.6404366152876606,-1.367926983432881,red
68,87,ZHEJIANG UNIVERSITY,China,XL,FC,VH,5,A,65.6,95,85.0,56,60.9,248,69.2,105,86.9,183.0,45.1,313.0,67.5,30.295271,120.16214,2019,4.400203931581212,-0.3794950067595876,red
69,70,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),United States,L,CO,VH,5,A,73.5,75,74.6,88,23.5,597,100.0,6,42.4,364.0,70.9,187.0,67.4,33.7763205,-84.394711,2019,4.361712054625754,-0.4558031658534416,red
69,65,UNIVERSITY OF GLASGOW,United Kingdom,L,FC,VH,5,A,70.4,80,59.6,127,60.7,250,57.2,180,94.3,134.0,96.7,68.0,67.4,55.8719945,-4.288112,2019,4.48628650811583,0.5318447084703685,red
71,69,UNIVERSITY OF ILLINOIS AT URBANA0CHAMPAIGN,United States,XL,FC,VH,5,A,89.1,42,53.6,151,15.9,601,90.7,32,20.7,522.0,70.0,191.0,67.0,40.11054,-88.2269005,2019,4.009544426200588,-0.8357986729864719,red
72,76,NATIONAL TAIWAN UNIVERSITY (NTU),Taiwan,XL,FC,VH,4,A,88.6,43,70.7,98,40.2,381,68.7,107,16.6,578.0,19.8,529.0,66.3,25.021115625,121.5361145,2019,3.590513547596576,-1.215903418945076,red
73,75,UNIVERSIDAD DE BUENOS AIRES,Argentina,XL,FC,VH,5,A,86.1,53,91.6,45,79.1,153,2.5,601,53.4,319.0,68.5,199.0,66.2,19.723743,-101.244986,2019,4.113520786510072,-0.7985891155814646,red
74,78,DURHAM UNIVERSITY,United Kingdom,L,FC,VH,5,A,57.1,122,94.1,33,38.0,404,82.5,57,95.5,125.0,87.5,117.0,65.7,54.77063750000001,-1.5738085000000002,2019,4.713011509802708,0.6072597855020677,red
75,1000,SORBONNE UNIVERSITY,France,XL,FC,VH,1,A,88.4,45,46.6,187,59.4,261,39.7,326,41.4,371.0,54.6,264.0,64.8,48.837654,2.360779,2019,2.0180344970201114,1.8312768115649023,red
75,82,THE UNIVERSITY OF SHEFFIELD,United Kingdom,L,FC,VH,5,A,61.0,109,64.1,113,64.5,227,58.8,171,88.9,173.0,94.2,85.0,64.8,53.38172,-1.479158,2019,4.316823215429335,0.4606519223401504,red
77,76,TOHOKU UNIVERSITY,Japan,L,FC,VH,5,A,68.7,85,61.8,121,98.4,46,45.7,274,14.5,601.0,18.2,545.0,64.3,38.271773,140.861356,2019,3.4241270024096897,-2.1109532813238374,red
78,73,UNIVERSITY OF ZURICH,Switzerland,L,FC,VH,5,A,55.6,130,70.8,96,99.0,44,31.8,410,100.0,46.0,59.2,247.0,63.6,47.3748005,8.548363,2019,4.0722209653575,-0.1091960158890867,red
79,84,UNIVERSITY OF BIRMINGHAM,United Kingdom,L,FC,VH,5,A,63.6,100,84.9,57,53.6,288,48.5,248,91.5,155.0,88.2,113.0,63.5,52.450079,-1.9305515,2019,4.357399646810396,0.4263032988831746,red
79,73,UNIVERSITY OF COPENHAGEN,Denmark,XL,FC,VH,5,A,67.2,87,47.0,183,99.9,21,28.8,443,91.6,154.0,28.0,447.0,63.5,55.68014,12.572227,2019,3.626367599644466,-0.783741556828116,red
81,71,KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,XL,FC,VH,5,A,76.5,71,60.8,123,13.4,601,87.1,47,89.6,168.0,39.8,350.0,63.4,55.787603,49.122207,2019,4.010593299321464,-0.1743072820241255,red
82,84,THE UNIVERSITY OF NOTTINGHAM,United Kingdom,L,FC,VH,5,A,61.3,108,79.5,77,60.4,254,47.5,258,93.5,139.0,83.8,131.0,63.1,2.9445225,101.8749405,2019,4.265298973761146,0.3703309723133762,red
83,71,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),South Korea,S,FO,VH,3,B,38.7,199,49.2,170,99.8,30,99.6,10,46.6,343.0,5.4,601.0,63.0,36.012097,129.3227425,2019,3.269601723345466,-0.3159804701563616,red
83,80,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",United States,L,FC,VH,5,A,68.1,86,43.1,211,95.5,60,49.6,236,31.7,441.0,12.7,601.0,63.0,35.907882,-79.0500079375,2019,3.24418411161776,-1.888162048415969,red
85,82,THE UNIVERSITY OF AUCKLAND,New Zealand,L,FC,VH,5,A,82.7,60,59.4,129,21.3,601,52.3,210,87.0,182.0,91.3,95.0,62.8,-36.852596,174.769411,2019,4.100365020637812,0.5015850101179372,red
86,90,KOREA UNIVERSITY,South Korea,L,FC,VH,5,B,66.7,91,84.7,58,86.8,109,34.8,365,16.9,576.0,44.2,321.0,62.7,37.588049,127.030937,2019,3.625621173441197,-1.605829179844454,red
87,89,RICE UNIVERSITY,United States,M,FC,VH,5,B,38.7,198,18.5,488,85.6,113,96.0,20,89.6,167.0,85.3,124.0,62.6,29.717171,-95.4018215,2019,3.866220293932383,0.4397494311630271,red
87,114,UNIVERSITI MALAYA (UM),Malaysia,L,FC,VH,5,A,63.9,99,57.7,135,93.5,74,32.6,399,55.9,311.0,61.2,237.0,62.6,3.12104,101.645899,2019,3.637574601770624,-0.7317616199464798,red
89,86,OHIO STATE UNIVERSITY,United States,XL,FC,VH,5,A,64.8,97,55.6,142,81.7,140,41.3,315,81.8,201.0,41.2,339.0,62.4,40.077497,-83.07423349999999,2019,3.685213407230016,-0.5960118665507118,red
90,95,LOMONOSOV MOSCOW STATE UNIVERSITY,Russia,XL,FO,VH,5,A,71.3,79,78.2,83,99.7,31,6.7,601,16.6,579.0,73.1,173.0,62.3,55.7635535,37.661657000000005,2019,3.595825756964312,-1.2632540766340914,red
91,93,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),Australia,L,FC,VH,5,A,60.0,112,58.6,131,24.0,584,88.4,40,100.0,29.0,94.7,81.0,62.2,-31.980069,115.817898,2019,4.258032211206118,0.9124968407179996,red
92,78,LUND UNIVERSITY,Sweden,L,FC,VH,5,A,67.2,88,52.6,157,57.4,271,51.2,220,89.6,169.0,71.8,181.0,62.1,46.7395603,-116.9748403,2019,3.897181241854319,0.1364156963910591,red
93,81,BOSTON UNIVERSITY,United States,L,FC,VH,5,B,62.4,105,66.0,106,70.8,192,51.9,215,28.6,461.0,87.0,119.0,62.0,42.3496,-71.0997,2019,3.793642174457241,-0.6020285801125072,red
93,101,UNIVERSITY OF LEEDS,United Kingdom,XL,FC,VH,5,A,67.1,89,83.8,62,49.9,305,41.7,313,84.6,191.0,81.6,141.0,62.0,53.806948625,-1.553621125,2019,4.129945110645503,0.2265842029537112,red
95,93,PENNSYLVANIA STATE UNIVERSITY,United States,XL,FC,VH,5,A,77.7,70,70.4,100,26.8,542,77.8,69,14.1,601.0,40.3,344.0,61.9,40.797229,-77.870724,2019,3.563086531771971,-1.3912229591422824,red
96,102,UNIVERSITY OF SOUTHAMPTON,United Kingdom,L,FC,VH,5,A,53.1,136,53.4,152,65.5,222,62.4,136,95.3,130.0,89.4,108.0,61.6,50.934787375,-1.3980085,2019,4.012414710475475,0.5616075978274978,red
