Institution,Country,Latitude,Longitude
LAHORE UNIVERSITY OF MANAGEMENT SCIENCES (LUMS),Pakistan,31.470176,74.4098855
LANCASTER UNIVERSITY,United Kingdom,54.0075255,-2.787612
LANZHOU UNIVERSITY,China,36.045899,103.867971
LAPPEENRANTA UNIVERSITY OF TECHNOLOGY,Finland,61.065426,28.091146
LAVAL UNIVERSITY,Canada,45.558582,-73.721343
LEBANESE AMERICAN UNIVERSITY,Lebanon,33.888996444,35.47333144
LEHIGH UNIVERSITY,United States,40.6071065,-75.3781415
LEIBNIZ UNIVERSITÄT HANNOVER,Germany,52.3825465,9.7178245
LEIDEN UNIVERSITY,Netherlands,52.081796,4.325686
LINCOLN UNIVERSITY,New Zealand,39.81012,-75.928314
LINCOLN UNIVERSITY ,New Zealand,39.81,-75.93
LINGNAN UNIVERSITY (HONG KONG),Hong Kong,22.410066,113.982752
LINKÖPING UNIVERSITY,Sweden,58.3996545,15.5770785
LIVERPOOL JOHN MOORES UNIVERSITY,United Kingdom,53.4042665,-2.976810125
LOBACHEVSKY STATE UNIVERSITY OF NIZHNI NOVGOROD,Russia,56.296505,43.936058
LODZ UNIVERSITY,Poland,51.7487895,19.4497955
LODZ UNIVERSITY OF TECHNOLOGY,Poland,51.7487895,19.4497955
LOMONOSOV MOSCOW STATE UNIVERSITY,Russia,55.702888,37.530582
LOMONOSOV MOSCOW STATE UNIVERSITY ,Russia,55.7635535,37.661657
LONDON BUSINESS SCHOOL,United Kingdom,51.5261795,-0.161
LONDON METROPOLITAN UNIVERSITY,United Kingdom,51.5520135,-0.110613
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,51.5142765,-0.116634
LONDON SOUTH BANK UNIVERSITY,United Kingdom,51.497843,-0.101855
LOUGHBOROUGH UNIVERSITY,United Kingdom,52.7673425,-1.2289455
LOUISIANA STATE UNIVERSITY,United States,30.414605,-91.178322
LOYOLA UNIVERSITY CHICAGO,United States,41.998188,-87.656028
LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN,Germany,48.150471,11.594703
LUND UNIVERSITY,Sweden,55.703497186,13.189332576
M.O.AUEZOV SOUTH KAZAKHSTAN STATE UNIVERSITY,Kazakhstan,43,68.5
MAASTRICHT UNIVERSITY,Netherlands,50.84507,5.685128
MACQUARIE UNIVERSITY,Australia,-33.7750065,151.112474
MAHIDOL UNIVERSITY,Thailand,13.792803,100.326207
MAKERERE UNIVERSITY,Uganda,0.334873,32.567497
MANAGEMENT AND SCIENCE UNIVERSITY,Malaysia,3.077666,101.552601
MANCHESTER METROPOLITAN UNIVERSITY,United Kingdom,53.4704565,-2.2383945
